playerCard1,playerCard2,playerCard3,playerCard4,playerCard5,dealerCard1,dealerCard2,dealerCard3,dealerCard4,dealerCard5,playerHandSum,dealerHandSum,cardsLeft,result
11,2,8,0,0,10,10,0,0,0,21,20,268,Win
9,3,1,0,0,10,10,0,0,0,13,20,263,Loss
9,3,6,0,0,9,2,7,0,0,18,18,257,Push
9,8,2,0,0,6,7,8,0,0,19,21,251,Loss
8,5,10,0,0,4,5,10,0,0,23,19,245,Loss
10,10,5,0,0,5,1,6,6,0,25,18,238,Loss
10,8,10,0,0,11,10,0,0,0,28,21,411,Loss
8,9,10,0,0,10,9,0,0,0,27,19,406,Loss
3,10,4,0,0,11,10,0,0,0,17,21,401,Loss
2,3,9,0,0,10,10,0,0,0,14,20,396,Loss
7,10,10,0,0,10,10,0,0,0,27,20,391,Loss
4,5,10,0,0,10,10,0,0,0,19,20,386,Loss
7,10,1,0,0,10,2,6,0,0,18,18,380,Push
9,6,10,0,0,2,10,3,6,0,25,21,373,Loss
9,10,10,0,0,7,10,0,0,0,29,17,368,Loss
7,7,1,0,0,10,4,7,0,0,15,21,362,Loss
5,10,5,0,0,2,8,10,0,0,20,20,356,Push
8,1,6,0,0,3,10,5,0,0,15,18,350,Loss
8,1,10,0,0,3,10,10,0,0,19,23,344,Win
4,10,10,0,0,5,10,4,0,0,24,19,338,Loss
2,2,9,0,0,10,11,0,0,0,13,21,333,Loss
10,2,10,0,0,10,8,0,0,0,22,18,328,Loss
9,5,9,0,0,2,2,7,10,0,23,21,321,Loss
10,8,7,0,0,2,9,10,0,0,25,21,315,Loss
10,4,10,0,0,6,3,4,7,0,24,20,308,Loss
1,7,8,0,0,10,10,0,0,0,16,20,303,Loss
1,5,6,0,0,10,11,0,0,0,12,21,298,Loss
7,9,5,0,0,4,10,1,2,0,21,17,291,Win
10,1,10,0,0,8,5,10,0,0,21,23,285,Win
3,10,10,0,0,8,4,4,10,0,23,26,278,Loss
1,10,11,0,0,7,5,3,8,0,22,23,271,Loss
2,7,3,0,0,10,6,10,0,0,12,26,265,Win
2,9,10,0,0,4,10,7,0,0,21,21,259,Push
10,10,8,0,0,4,4,3,5,1,28,17,251,Loss
7,7,10,0,0,7,5,10,0,0,24,22,245,Loss
10,4,4,0,0,10,2,3,6,0,18,21,238,Loss
5,1,10,0,0,10,8,0,0,0,16,18,233,Loss
6,8,3,0,0,2,5,10,0,0,17,17,227,Push
9,6,10,0,0,10,8,0,0,0,25,18,222,Loss
2,9,10,0,0,10,8,0,0,0,21,18,217,Win
5,2,10,0,0,10,9,0,0,0,17,19,212,Loss
6,10,1,0,0,10,9,0,0,0,17,19,207,Loss
8,11,2,0,0,6,10,5,0,0,21,21,410,Push
10,6,9,0,0,8,5,2,10,0,25,25,403,Loss
6,5,5,0,0,5,6,10,0,0,16,21,397,Loss
10,8,10,0,0,11,10,0,0,0,28,21,392,Loss
3,2,10,0,0,8,9,0,0,0,15,17,387,Loss
4,8,3,0,0,7,10,0,0,0,15,17,382,Loss
4,7,10,0,0,7,3,9,0,0,21,19,376,Win
10,10,4,0,0,9,7,1,0,0,24,17,370,Loss
1,10,5,0,0,2,4,8,8,0,16,22,363,Win
2,4,10,0,0,7,2,9,0,0,16,18,357,Loss
3,1,10,0,0,10,7,0,0,0,14,17,352,Loss
6,5,10,0,0,10,9,0,0,0,21,19,347,Win
9,9,10,0,0,10,10,0,0,0,28,20,342,Loss
4,7,8,0,0,2,2,7,10,0,19,21,335,Loss
